"","Protein","P.Value","adj.P.Val","method","days","effect"
"341","P54727",0.113289495650732,0.47119767865026,"MinProb","day1_04","short.term"
"342","Q6DD88",0.113518621314646,0.47119767865026,"MinProb","day1_04","short.term"
"343","Q9P0V9",0.114210935854418,0.47119767865026,"MinProb","day1_04","short.term"
"344","Q9Y285",0.114447821908508,0.47119767865026,"MinProb","day1_04","short.term"
"345","P00761",0.114657065312958,0.47119767865026,"MinProb","day1_04","short.term"
"346","O95793",0.114691431386,0.47119767865026,"MinProb","day1_04","short.term"
"347","P32322",0.114740768064309,0.47119767865026,"MinProb","day1_04","short.term"
"348","Q86VP6",0.116853896197405,0.478286338777883,"MinProb","day1_04","short.term"
"349","O15231",0.117138198058583,0.478286338777883,"MinProb","day1_04","short.term"
"350","Q9UBT2",0.118181803686725,0.481131067776713,"MinProb","day1_04","short.term"
"351","Q7L1Q6",0.118814100801539,0.481131067776713,"MinProb","day1_04","short.term"
"352","O43290",0.118847814636774,0.481131067776713,"MinProb","day1_04","short.term"
"353","Q969G5",0.119653184799191,0.482418177051004,"MinProb","day1_04","short.term"
"354","P33991",0.119842831351618,0.482418177051004,"MinProb","day1_04","short.term"
"355","O95182",0.120524164158516,0.483393697670867,"MinProb","day1_04","short.term"
"356","P28482",0.120763618505845,0.483393697670867,"MinProb","day1_04","short.term"
"357","P04075",0.121292965420371,0.484152593064507,"MinProb","day1_04","short.term"
"358","Q8WUH6",0.122935991886311,0.485369560949288,"MinProb","day1_04","short.term"
"359","P15311",0.122979761373881,0.485369560949288,"MinProb","day1_04","short.term"
"360","P31930",0.123521163967411,0.485369560949288,"MinProb","day1_04","short.term"
"361","P22695",0.123795025681502,0.485369560949288,"MinProb","day1_04","short.term"
"362","P30049",0.123812504891631,0.485369560949288,"MinProb","day1_04","short.term"
"363","Q06830",0.124626864763976,0.485369560949288,"MinProb","day1_04","short.term"
"364","P24752",0.125027628228307,0.485369560949288,"MinProb","day1_04","short.term"
"365","P08123",0.125118562340263,0.485369560949288,"MinProb","day1_04","short.term"
"366","P17844",0.125348702879893,0.485369560949288,"MinProb","day1_04","short.term"
"367","P62304",0.125369335046153,0.485369560949288,"MinProb","day1_04","short.term"
"368","Q6P2E9",0.125427195694529,0.485369560949288,"MinProb","day1_04","short.term"
"369","P82979",0.125900137465215,0.485369560949288,"MinProb","day1_04","short.term"
"370","P84098",0.126078429860304,0.485369560949288,"MinProb","day1_04","short.term"
"371","Q9Y265",0.12636639095592,0.485369560949288,"MinProb","day1_04","short.term"
"372","O75874",0.127635052411327,0.487471863989361,"MinProb","day1_04","short.term"
"373","P54920",0.128355468807944,0.487471863989361,"MinProb","day1_04","short.term"
"374","P23526",0.128824778312256,0.487471863989361,"MinProb","day1_04","short.term"
"375","P25787",0.128825159285366,0.487471863989361,"MinProb","day1_04","short.term"
"376","Q7Z2W4",0.129171079882076,0.487471863989361,"MinProb","day1_04","short.term"
"377","P23396",0.12933334085661,0.487471863989361,"MinProb","day1_04","short.term"
"378","P10155",0.129468928100108,0.487471863989361,"MinProb","day1_04","short.term"
"379","P09651",0.129745963628728,0.487471863989361,"MinProb","day1_04","short.term"
"380","P15170",0.130758700382307,0.487471863989361,"MinProb","day1_04","short.term"
"381","P07237",0.130814106527572,0.487471863989361,"MinProb","day1_04","short.term"
"382","P53396",0.131104266621764,0.487471863989361,"MinProb","day1_04","short.term"
"383","O76094",0.131480484256751,0.487471863989361,"MinProb","day1_04","short.term"
"384","P10644",0.13156698184553,0.487471863989361,"MinProb","day1_04","short.term"
"385","Q9UQ80",0.131974545476603,0.487471863989361,"MinProb","day1_04","short.term"
"386","Q9H0V9",0.132177767905205,0.487471863989361,"MinProb","day1_04","short.term"
"387","P09382",0.132387095693953,0.487471863989361,"MinProb","day1_04","short.term"
"388","P16989",0.133541601088592,0.490455622554753,"MinProb","day1_04","short.term"
"389","O14979",0.134931720679133,0.49197317977551,"MinProb","day1_04","short.term"
"390","Q15029",0.135055048368176,0.49197317977551,"MinProb","day1_04","short.term"
"391","P63261",0.135210301220267,0.49197317977551,"MinProb","day1_04","short.term"
"392","Q99729",0.135686421133544,0.49197317977551,"MinProb","day1_04","short.term"
"393","P53814",0.136003087020371,0.49197317977551,"MinProb","day1_04","short.term"
"394","P09972",0.13602626865372,0.49197317977551,"MinProb","day1_04","short.term"
"395","Q9HC38",0.136870751752608,0.493010468178083,"MinProb","day1_04","short.term"
"396","P04792",0.137233273700788,0.493010468178083,"MinProb","day1_04","short.term"
"397","P49023",0.137350986573122,0.493010468178083,"MinProb","day1_04","short.term"
"398","Q8WWM7",0.138245239244523,0.494973532470967,"MinProb","day1_04","short.term"
"399","P24534",0.138627797072537,0.495099275259062,"MinProb","day1_04","short.term"
"400","O75368",0.140854928707125,0.501795683519133,"MinProb","day1_04","short.term"
"401","P15531",0.142200290886762,0.505325223226023,"MinProb","day1_04","short.term"
"402","O00154",0.142955141495522,0.506370009970581,"MinProb","day1_04","short.term"
"403","Q9H299",0.143204992293434,0.506370009970581,"MinProb","day1_04","short.term"
"404","P84090",0.143569746624721,0.506403190446108,"MinProb","day1_04","short.term"
"405","Q99471",0.144431971430532,0.507483884079512,"MinProb","day1_04","short.term"
"406","O00203",0.144588390832478,0.507483884079512,"MinProb","day1_04","short.term"
"407","Q9UKY7",0.146060752637959,0.509834452024793,"MinProb","day1_04","short.term"
"408","P84077",0.146177291775665,0.509834452024793,"MinProb","day1_04","short.term"
"409","O75506",0.146621857082902,0.509834452024793,"MinProb","day1_04","short.term"
"410","P35268",0.146981377056205,0.509834452024793,"MinProb","day1_04","short.term"
"411","Q14203",0.147310355788369,0.509834452024793,"MinProb","day1_04","short.term"
"412","P46459",0.148094023103422,0.509834452024793,"MinProb","day1_04","short.term"
"413","Q00688",0.148503402170343,0.509834452024793,"MinProb","day1_04","short.term"
"414","P05556",0.14880531547653,0.509834452024793,"MinProb","day1_04","short.term"
"415","P25398",0.148991669234288,0.509834452024793,"MinProb","day1_04","short.term"
"416","P14635",0.149467854234224,0.509834452024793,"MinProb","day1_04","short.term"
"417","Q92945",0.150018127353375,0.509834452024793,"MinProb","day1_04","short.term"
"418","O00303",0.150192864431782,0.509834452024793,"MinProb","day1_04","short.term"
"419","Q08211",0.150453932059545,0.509834452024793,"MinProb","day1_04","short.term"
"420","Q9Y2W1",0.150564753881616,0.509834452024793,"MinProb","day1_04","short.term"
"421","P07737",0.150624774949079,0.509834452024793,"MinProb","day1_04","short.term"
"422","Q13045",0.151253481850922,0.510749316676693,"MinProb","day1_04","short.term"
"423","Q9H910",0.151666591871028,0.510933554175449,"MinProb","day1_04","short.term"
"424","P52655",0.152501213904811,0.511174622501407,"MinProb","day1_04","short.term"
"425","Q9UKM9",0.152602103226367,0.511174622501407,"MinProb","day1_04","short.term"
"426","Q15459",0.152814308200421,0.511174622501407,"MinProb","day1_04","short.term"
"427","Q9BU89",0.153264453701744,0.511479734250551,"MinProb","day1_04","short.term"
"428","Q9UBB4",0.15382967527388,0.512166559031026,"MinProb","day1_04","short.term"
"429","Q14103",0.154255641649421,0.512387620863461,"MinProb","day1_04","short.term"
"430","Q8N0X7",0.155839232624572,0.514963907884076,"MinProb","day1_04","short.term"
"431","P39023",0.156370527124788,0.514963907884076,"MinProb","day1_04","short.term"
"432","P63173",0.156387180409672,0.514963907884076,"MinProb","day1_04","short.term"
"433","O75533",0.156476752360565,0.514963907884076,"MinProb","day1_04","short.term"
"434","P62249",0.157422445488921,0.51688245350625,"MinProb","day1_04","short.term"
"435","P18077",0.158505079000842,0.519240776037242,"MinProb","day1_04","short.term"
"436","P15880",0.160368033637292,0.519937647592636,"MinProb","day1_04","short.term"
"437","P54577",0.160668440443234,0.519937647592636,"MinProb","day1_04","short.term"
"438","Q07065",0.160708973285786,0.519937647592636,"MinProb","day1_04","short.term"
"439","Q9GZL7",0.160886403097518,0.519937647592636,"MinProb","day1_04","short.term"
"440","Q9H3P7",0.161060175025681,0.519937647592636,"MinProb","day1_04","short.term"
"441","Q9NWU2",0.161258288948195,0.519937647592636,"MinProb","day1_04","short.term"
"442","P13639",0.161271887884874,0.519937647592636,"MinProb","day1_04","short.term"
"443","Q7Z6Z7",0.161757359187624,0.520325591066285,"MinProb","day1_04","short.term"
"444","P56545",0.162251111108018,0.520738363353437,"MinProb","day1_04","short.term"
"445","P33176",0.163512634964083,0.521119277299119,"MinProb","day1_04","short.term"
"446","P04818",0.163730931090634,0.521119277299119,"MinProb","day1_04","short.term"
"447","Q32MZ4",0.16379250040115,0.521119277299119,"MinProb","day1_04","short.term"
"448","Q13596",0.164552217302086,0.521119277299119,"MinProb","day1_04","short.term"
"449","Q8TDX7",0.164696056391799,0.521119277299119,"MinProb","day1_04","short.term"
"450","Q96KB5",0.165097408537206,0.521119277299119,"MinProb","day1_04","short.term"
"451","P38159",0.16519854366202,0.521119277299119,"MinProb","day1_04","short.term"
"452","Q9P2J5",0.165295377781896,0.521119277299119,"MinProb","day1_04","short.term"
"453","P53992",0.167188279829592,0.525898737016562,"MinProb","day1_04","short.term"
"454","P78347",0.167737718877626,0.525898737016562,"MinProb","day1_04","short.term"
"455","O43143",0.167918544100025,0.525898737016562,"MinProb","day1_04","short.term"
"456","P62081",0.168473193261283,0.526224175294134,"MinProb","day1_04","short.term"
"457","P31150",0.168761016217136,0.526224175294134,"MinProb","day1_04","short.term"
"458","Q14011",0.169947399355257,0.528766471793102,"MinProb","day1_04","short.term"
"459","O94925",0.171360039810085,0.532000123593401,"MinProb","day1_04","short.term"
"460","Q14847",0.172490395287102,0.534345246269828,"MinProb","day1_04","short.term"
"461","P18206",0.173201742467924,0.535066342319356,"MinProb","day1_04","short.term"
"462","P62993",0.173674139935944,0.535066342319356,"MinProb","day1_04","short.term"
"463","P34955",0.173849625609727,0.535066342319356,"MinProb","day1_04","short.term"
"464","P07108",0.175106837935691,0.536856435486356,"MinProb","day1_04","short.term"
"465","P13674",0.175184731579758,0.536856435486356,"MinProb","day1_04","short.term"
"466","P18564",0.176008183693886,0.538222450136884,"MinProb","day1_04","short.term"
"467","O43707",0.17641174415106,0.538301360632249,"MinProb","day1_04","short.term"
"468","Q9UBB6",0.17714175817553,0.538881052470918,"MinProb","day1_04","short.term"
"469","P46778",0.17760378852835,0.538881052470918,"MinProb","day1_04","short.term"
"470","Q86V81",0.177736206779882,0.538881052470918,"MinProb","day1_04","short.term"
"471","O60925",0.178332822308802,0.539541978322809,"MinProb","day1_04","short.term"
"472","P21980",0.178938975152034,0.539907040177862,"MinProb","day1_04","short.term"
"473","Q09028",0.17963395048001,0.539907040177862,"MinProb","day1_04","short.term"
"474","P59998",0.179841997657866,0.539907040177862,"MinProb","day1_04","short.term"
"475","Q93062",0.179969013392621,0.539907040177862,"MinProb","day1_04","short.term"
"476","P61970",0.180854665757675,0.540323054041724,"MinProb","day1_04","short.term"
"477","P11310",0.18087765444094,0.540323054041724,"MinProb","day1_04","short.term"
"478","Q92734",0.18124520689961,0.540323054041724,"MinProb","day1_04","short.term"
"479","P22392",0.181928778537543,0.541228620910227,"MinProb","day1_04","short.term"
"480","Q99622",0.183335485306865,0.544277222004756,"MinProb","day1_04","short.term"
"481","P07355",0.187203668709777,0.554605463433332,"MinProb","day1_04","short.term"
"482","Q04760",0.187707714288514,0.55494500593596,"MinProb","day1_04","short.term"
"483","Q15637",0.18845470731492,0.555999912885633,"MinProb","day1_04","short.term"
"484","P50395",0.189682374532225,0.557760192584925,"MinProb","day1_04","short.term"
"485","Q9NZN4",0.190115334861221,0.557760192584925,"MinProb","day1_04","short.term"
"486","Q8IV08",0.190225581471069,0.557760192584925,"MinProb","day1_04","short.term"
"487","P42025",0.190783930162327,0.557975188254897,"MinProb","day1_04","short.term"
"488","Q07666",0.191082029381326,0.557975188254897,"MinProb","day1_04","short.term"
"489","Q9Y2G5",0.192024403330653,0.558704262891434,"MinProb","day1_04","short.term"
"490","Q9Y371",0.192115851801265,0.558704262891434,"MinProb","day1_04","short.term"
"491","P22087",0.192796347413387,0.559541334142722,"MinProb","day1_04","short.term"
"492","P08238",0.194434281785659,0.561599094542673,"MinProb","day1_04","short.term"
"493","Q15121",0.195203652759626,0.561599094542673,"MinProb","day1_04","short.term"
"494","P52926",0.195651050774839,0.561599094542673,"MinProb","day1_04","short.term"
"495","P63151",0.195706873770188,0.561599094542673,"MinProb","day1_04","short.term"
"496","O75347",0.195831965653323,0.561599094542673,"MinProb","day1_04","short.term"
"497","Q9UHD1",0.195869999991375,0.561599094542673,"MinProb","day1_04","short.term"
"498","Q14257",0.196838083711347,0.563241504595721,"MinProb","day1_04","short.term"
"499","Q93077",0.19793479060528,0.565244642510067,"MinProb","day1_04","short.term"
"500","Q16643",0.19926731901915,0.567911859204577,"MinProb","day1_04","short.term"
"501","P53621",0.20009758863524,0.568314693122511,"MinProb","day1_04","short.term"
"502","p_0",0.200390649954723,0.568314693122511,"MinProb","day1_04","short.term"
"503","P05976",0.201556008645552,0.568314693122511,"MinProb","day1_04","short.term"
"504","P20674",0.20161338742469,0.568314693122511,"MinProb","day1_04","short.term"
"505","P26639",0.202310504111638,0.568314693122511,"MinProb","day1_04","short.term"
"506","Q6IBS0",0.202341670730419,0.568314693122511,"MinProb","day1_04","short.term"
"507","P98082",0.202943068949605,0.568314693122511,"MinProb","day1_04","short.term"
"508","A6NHL2",0.202981004445799,0.568314693122511,"MinProb","day1_04","short.term"
"509","P62241",0.203398638260532,0.568314693122511,"MinProb","day1_04","short.term"
"510","Q9Y314",0.203829124703406,0.568314693122511,"MinProb","day1_04","short.term"
"511","Q02880",0.203854067279537,0.568314693122511,"MinProb","day1_04","short.term"
"512","Q9Y3B8",0.20450715569178,0.568314693122511,"MinProb","day1_04","short.term"
"513","Q15942",0.204593289524104,0.568314693122511,"MinProb","day1_04","short.term"
"514","P02751",0.205209044339147,0.568525409900548,"MinProb","day1_04","short.term"
"515","O15143",0.205531909490074,0.568525409900548,"MinProb","day1_04","short.term"
"516","Q96S97",0.205892468619502,0.568525409900548,"MinProb","day1_04","short.term"
"517","Q32P28",0.206883445801948,0.568525409900548,"MinProb","day1_04","short.term"
"518","Q08209",0.206935552432903,0.568525409900548,"MinProb","day1_04","short.term"
"519","P62942",0.207119345932388,0.568525409900548,"MinProb","day1_04","short.term"
"520","P67936",0.207834320281118,0.568525409900548,"MinProb","day1_04","short.term"
"521","P04216",0.207860869163639,0.568525409900548,"MinProb","day1_04","short.term"
"522","Q5T4S7",0.208738866555494,0.569833112723332,"MinProb","day1_04","short.term"
"523","P38646",0.210353453159839,0.570390678956061,"MinProb","day1_04","short.term"
"524","O95817",0.210528948875068,0.570390678956061,"MinProb","day1_04","short.term"
"525","Q9NX24",0.210833391130929,0.570390678956061,"MinProb","day1_04","short.term"
"526","Q9BQ67",0.211211287079011,0.570390678956061,"MinProb","day1_04","short.term"
"527","Q9UBR2",0.211354117004318,0.570390678956061,"MinProb","day1_04","short.term"
"528","Q9NYL9",0.211927680300421,0.570390678956061,"MinProb","day1_04","short.term"
"529","P19525",0.212077324918284,0.570390678956061,"MinProb","day1_04","short.term"
"530","P98179",0.212145305155588,0.570390678956061,"MinProb","day1_04","short.term"
"531","P33992",0.213746879154822,0.573614506206442,"MinProb","day1_04","short.term"
"532","Q04446",0.215218974712423,0.576479396551132,"MinProb","day1_04","short.term"
"533","P26368",0.215959959982722,0.577001160324565,"MinProb","day1_04","short.term"
"534","P05387",0.218379048322897,0.577001160324565,"MinProb","day1_04","short.term"
